251-0919: ['3M'] | 5306 | 251-0919 | RS | ['3M:3M Scotch-Brite 86 Medium Abrasive Hand Pad, 224mm x 158mm '] | ['3M:None'] | Abrasive Hand Pads & Sponges
476-145: ['Facom'] | 440.24 | 476-145 | RS | ['Facom:Facom 24 mm Combination Spanner, Alloy Steel '] | ['Facom:None'] | Combination Spanners
235-2757: ['Facom'] | 83SH.4 | 235-2757 | RS | ['Facom:Facom 4mm Ball End Hex Key '] | ['Facom:None'] | Hex Keys & Sets
220-0662: ['Facom'] | 249.GPB | 220-0662 | RS | ['Facom:Facom 5 piece Punch Set Anti-Vibration '] | ['Facom:None'] | Punch Sets
235-2763: ['Facom'] | 83SH.5 | 235-2763 | RS | ['Facom:Facom 5mm Ball End Hex Key '] | ['Facom:None'] | Hex Keys & Sets
755-4131: ['Facom'] | 84TZS.5 | 755-4131 | RS | ['Facom:Facom 5mm Screwdriver Hex Key '] | ['Facom:None'] | Hex Keys & Sets
755-4131: ['Facom'] | 84TZS.5 | 755-4131 | RS | ['Facom:Facom 5mm Screwdriver Hex Key '] | ['Facom:None'] | Hex Keys & Sets
235-2779: ['Facom'] | 83SH.6 | 235-2779 | RS | ['Facom:Facom 6mm Ball End Hex Key '] | ['Facom:None'] | Hex Keys & Sets
250-7452: ['Facom'] | 75.7 | 250-7452 | RS | ['Facom:Facom 7 mm Socket Wrench, Hex Drive With Tube Handle '] | ['Facom:None'] | Socket Wrenches
250-7452: ['Facom'] | 75.7 | 250-7452 | RS | ['Facom:Facom 7 mm Socket Wrench, Hex Drive With Tube Handle '] | ['Facom:None'] | Socket Wrenches
300-9965: ['Facom'] | 234 | 300-9965 | RS | ['Facom:Facom Angled; Straight Chrome Vanadium Steel Scribe '] | ['Facom:None'] | Scribes
910-2837: ['Facom'] | 467.10SLS | 910-2837 | RS | ['Facom:Facom Height Safe 10 mm Combination Ratchet Spanner, Hexagon '] | ['Facom:None'] | Ratchet Spanners
703-1360: ['Facom'] | ACL.1A | 703-1360 | RS | ['Facom:Facom Magnetic Slotted; Phillips; Pozidriv; Hexagon Ratchet Screwdriver, 225 mm length Chrome '] | ['Facom:None'] | Ratchet Screwdrivers
755-4113: ['Facom'] | 830A.5 | 755-4113 | RS | ['Facom:Facom T-Handle Tap Wrench M6 '] | ['Facom:None'] | Tap & Die Wrenches
146-8701: ['Facom'] | Y.104PB | 146-8701 | RS | ['Facom:Plier Type Riveter '] | ['Facom:None'] | Riveting Tools
756-9840: ['Rittal'] | SK 3238.200 | 756-9840 | RS | ['Rittal:Fan Filter, Exhaust 148.5 x 148.5mm, for 124 x 124 mm, 148.5 x 148.5 mm Fan Chemical Fibre'] | ['Rittal:None'] | Fan Filters
121-4327: ['Festo'] | FK-M8 | 121-4327 | RS | ['Festo:Festo Floating Joint FK-M8 '] | ['Festo:None'] | Pneumatic Cylinder & Actuator Mounting Equipment
872-6022: ['Flexicon'] | FSU20-M20-C90 | 872-6022 | RS | ['Flexicon:Flexicon 90° Elbow Cable Conduit Fitting, Brass Nickel Plated 20mm nominal size IP65 M20 '] | ['Flexicon:None'] | Cable Conduit Fittings
880-8142: ['Flexicon'] | FPAS13B-50M | 880-8142 | RS | ['Flexicon:Flexicon FPAS Plastic Flexible Conduit Black 13mm 50m'] | ['Flexicon:None'] | Conduit
872-2133: ['Flexicon'] | FPA13-M16B | 872-2133 | RS | ['Flexicon:Flexicon Straight Cable Conduit Fitting, Nylon Black 13mm nominal size IP66 M16 '] | ['Flexicon:None'] | Cable Conduit Fittings
616-1476: ['Fluke'] | 2583601 | 616-1476 | RS | ['Fluke:Fluke 116 Handheld Digital Multimeter, 600µA ac 600V ac 600µA dc 600V dc '] | ['Fluke:None'] | Digital Multimeters
870-7346: ['Fluke'] | FLK-TI-SBC3B | 870-7346 | RS | ['Fluke:Fluke FLK-TI-SBC3B Thermal Imaging Camera Battery Charger, For Use With Ti100 Battery Pack, Ti105 Battery Pack, Ti110'] | ['Fluke:None'] | Thermal Imaging Camera Accessories
829-3698: ['Freudenberg Sealing Technologies Simrit'] | 40413423 | 829-3698 | RS | ['Freudenberg Sealing Technologies Simrit:Freudenberg Sealing Technologies Simrit 72 NBR 902 Seal, 30mm Bore , 62mm O.D , -40 ? +100°C '] | ['Freudenberg Sealing Technologies Simrit:None'] | Seals & O-Rings
829-6603: ['Weidmuller'] | ASK 1/EN - 0474560000 | 829-6603 | RS | ['Weidmuller:Weidmuller, Brown, SAK Series, 6.3A 1 Fused DIN Rail Terminal'] | ['Weidmuller:None'] | Fused DIN Rail Terminals
788-3975: ['Ganz'] | LMEG08 | 788-3975 | RS | ['Ganz:Ganz LMEG08 8in LED CCTV Monitor '] | ['Ganz:None'] | CCTV Monitors
498-4025: ['Fibox'] | ABS 95/75 HG enclosure | 498-4025 | RS | ['Fibox:Fibox ABS Enclosure, IP66, IP67, 100 x 100 x 75mm'] | ['Fibox:None'] | General Purpose Enclosures
498-4025: ['Fibox'] | ABS 95/75 HG enclosure | 498-4025 | RS | ['Fibox:Fibox ABS Enclosure, IP66, IP67, 100 x 100 x 75mm'] | ['Fibox:None'] | General Purpose Enclosures
738-9218: ['Fibox'] | ALN 080806 complete | 738-9218 | RS | ['Fibox:Fibox Euronord, Aluminium Enclosure, IP66, IP67, IP68, 82 x 77 x 57mm'] | ['Fibox:None'] | General Purpose Enclosures
197-1565: ['Unistrut'] | PCH-4850 | 197-1565 | RS | ['Unistrut:Unistrut Pipe Clips PCH-4850, 48 ? 50mm'] | ['Unistrut:None'] | Girder Threaded Rod Pipe Clip Supports
187-0743: ['RS Pro'] | None | 187-0743 | RS | ['RS Pro:Stainless Steel Hex Socket Set M5 x 8mm Grub Screw'] | ['RS Pro:None'] | Grub Screws & Set Screws
185-3669: ['RS Pro'] | None | 185-3669 | RS | ['RS Pro:RS PRO 300 mm Bi-metal Hacksaw Blade, 18 TPI'] | ['RS Pro:None'] | Hacksaw Blades
185-3675: ['RS Pro'] | None | 185-3675 | RS | ['RS Pro:RS PRO 300 mm Bi-metal Hacksaw Blade, 24 TPI'] | ['RS Pro:None'] | Hacksaw Blades
844-3329: ['HARTING'] | 19300161531 | 844-3329 | RS | ['HARTING:Han B 1930 Series size 16 B Side Entry Connector Hood '] | ['HARTING:None'] | Heavy Duty Power Connectors
844-3001: ['HARTING'] | 09300100318 | 844-3001 | RS | ['HARTING:Han B 930 Series size 10 B Bulkhead Mount Base Panel '] | ['HARTING:None'] | Heavy Duty Power Connectors
844-2988: ['HARTING'] | 09300060318 | 844-2988 | RS | ['HARTING:Han B 930 Series size 6 B Surface Mount Connector Housing '] | ['HARTING:None'] | Heavy Duty Power Connectors
363-8197: ['HARTING'] | 09300160302 | 363-8197 | RS | ['HARTING:Han B Series size 16 B Connector Housing '] | ['HARTING:None'] | Heavy Duty Power Connectors
473-1691: ['HARTING'] | 09300061251+09330062701 | 473-1691 | RS | ['HARTING:Han E Series 6 Way Female 16A Panel Feed Through Set, includes Housing, Insert '] | ['HARTING:None'] | Heavy Duty Power Connector Kits
492-5458: ['HARTING'] | 09330062601+19300061540 | 492-5458 | RS | ['HARTING:Han E Series 6 Way Male 16A Connector Kit, includes Hood, Insert '] | ['HARTING:None'] | Heavy Duty Power Connector Kits
114-8181: ['HARTING'] | 09330062701 | 114-8181 | RS | ['HARTING:Han E Series size 6 B Connector Insert, Female, 7 Way, 16A, 500 V'] | ['HARTING:None'] | Heavy Duty Power Connectors
172-8513: ['HARTING'] | 09330102616 | 172-8513 | RS | ['HARTING:Han ES Series size 10 B Connector Insert, Male, 10 Way, 16A, 500 V '] | ['HARTING:None'] | Heavy Duty Power Connectors
172-8557: ['HARTING'] | 09330162716 | 172-8557 | RS | ['HARTING:Han ES Series size 16 B Connector Insert, Female, 16 Way, 16A, 500 V '] | ['HARTING:None'] | Heavy Duty Power Connectors
172-8541: ['HARTING'] | 09330162616 | 172-8541 | RS | ['HARTING:Han ES Series size 16 B Connector Insert, Male, 16 Way, 16A, 500 V '] | ['HARTING:None'] | Heavy Duty Power Connectors
172-8541: ['HARTING'] | 09330162616 | 172-8541 | RS | ['HARTING:Han ES Series size 16 B Connector Insert, Male, 16 Way, 16A, 500 V '] | ['HARTING:None'] | Heavy Duty Power Connectors
172-8490: ['HARTING'] | 09330062616 | 172-8490 | RS | ['HARTING:Han ES Series size 6 B Connector Insert, Male, 6 + E Way, 16A, 500 V '] | ['HARTING:None'] | Heavy Duty Power Connectors
350-1607: ['JSP'] | HDH001-005-400 | 350-1607 | RS | ['JSP:JSP Red/White PE Barrier Tape, 500m'] | ['JSP:None'] | Hazard Tapes & Barrier Tapes
480-475: ['HellermannTyton'] | 111-00830 | 480-475 | RS | ['HellermannTyton:HellermannTyton, MCT50R Series Blue Metal Detectable Cable Tie, 200mm x 4.6 mm'] | ['HellermannTyton:None'] | Cable Ties
554-620: ['HellermannTyton'] | 901-10356 | 554-620 | RS | ['HellermannTyton:HellermannTyton Helagrip Slide On Cable Marker, Pre-printed 0 White on Black 2 ? 5mm Dia. Range '] | ['HellermannTyton:None'] | Cable Markers
554-642: ['HellermannTyton'] | 901-10358 | 554-642 | RS | ['HellermannTyton:HellermannTyton Helagrip Slide On Cable Marker, Pre-printed 2 White on Red 2 ? 5mm Dia. Range '] | ['HellermannTyton:None'] | Cable Markers
554-658: ['HellermannTyton'] | 901-10359 | 554-658 | RS | ['HellermannTyton:HellermannTyton Helagrip Slide On Cable Marker, Pre-printed 3 Black on Orange 2 ? 5mm Dia. Range '] | ['HellermannTyton:None'] | Cable Markers
554-664: ['HellermannTyton'] | 901-10360 | 554-664 | RS | ['HellermannTyton:HellermannTyton Helagrip Slide On Cable Marker, Pre-printed 4 Black on Yellow 2 ? 5mm Dia. Range '] | ['HellermannTyton:None'] | Cable Markers
554-670: ['HellermannTyton'] | 901-10361 | 554-670 | RS | ['HellermannTyton:HellermannTyton Helagrip Slide On Cable Marker, Pre-printed 5 White on Green 2 ? 5mm Dia. Range '] | ['HellermannTyton:None'] | Cable Markers
554-692: ['HellermannTyton'] | 901-10363 | 554-692 | RS | ['HellermannTyton:HellermannTyton Helagrip Slide On Cable Marker, Pre-printed 7 White on Violet 2 ? 5mm Dia. Range '] | ['HellermannTyton:None'] | Cable Markers
556-935: ['HellermannTyton'] | 901-10380 | 556-935 | RS | ['HellermannTyton:HellermannTyton Helagrip Slide On Cable Marker, Pre-printed L Black on White 2 ? 5mm Dia. Range '] | ['HellermannTyton:None'] | Cable Markers
556-941: ['HellermannTyton'] | 901-10381 | 556-941 | RS | ['HellermannTyton:HellermannTyton Helagrip Slide On Cable Marker, Pre-printed N Black on White 2 ? 5mm Dia. Range '] | ['HellermannTyton:None'] | Cable Markers
558-587: ['HellermannTyton'] | 901-10446 | 558-587 | RS | ['HellermannTyton:HellermannTyton Helagrip Slide On Cable Marker, Pre-printed U Black on White 2 ? 5mm Dia. Range '] | ['HellermannTyton:None'] | Cable Markers
558-593: ['HellermannTyton'] | 901-10447 | 558-593 | RS | ['HellermannTyton:HellermannTyton Helagrip Slide On Cable Marker, Pre-printed V Black on White 2 ? 5mm Dia. Range '] | ['HellermannTyton:None'] | Cable Markers
817-9842: ['HellermannTyton'] | 162-10250 | 817-9842 | RS | ['HellermannTyton:HellermannTyton Spiral Wrap 30mm PP '] | ['HellermannTyton:None'] | Cable Spiral Wrapping
558-600: ['HellermannTyton'] | 901-10448 | 558-600 | RS | ['HellermannTyton:HellermannTyton, Helagrip Series Black on White PVC Cable Ties, 3.5mm x 4.3 mm '] | ['HellermannTyton:None'] | Cable Ties
222-2482: ['Wiha Tools'] | 07185 | 222-2482 | RS | ['Wiha Tools:Wiha Tools 9 pieces 1.5 mm, 2 mm, 2.5 mm, 3 mm, 4 mm, 5 mm, 6 mm, 8 mm, 10 mm Ball End Hex Key Set'] | ['Wiha Tools:None'] | Hex Keys & Sets
542-3509: ['RS Pro'] | None | 542-3509 | RS | ['RS Pro:RS PRO 15 pieces 1.27 mm, 1.5 mm, 2 mm, 2.5 mm, 3 mm, 3.5 mm, 4 mm, 4.5 mm, 5 mm, 5.5 mm, 6 mm, 7 mm, 8 mm, 9 mm, 10 mm'] | ['RS Pro:None'] | Hex Keys & Sets
794-7798: ['Facom'] | 83SH.JPAAPB | 794-7798 | RS | ['Facom:Facom 9 pieces 1.5 mm, 2 mm, 2.5 mm, 3 mm, 4 mm, 5 mm, 6 mm, 7 mm, 8 mm Ball End Hex Key Set'] | ['Facom:None'] | Hex Keys & Sets
721-0743: ['Southco'] | None | 721-0743 | RS | ['Southco:Southco Black Powder Coated Zinc Concealed Hinge Screw, 40mm x 40mm x 9mm'] | ['Southco:None'] | Hinges
721-0743: ['Southco'] | None | 721-0743 | RS | ['Southco:Southco Black Powder Coated Zinc Concealed Hinge Screw, 40mm x 40mm x 9mm'] | ['Southco:None'] | Hinges
494-2172: ['HI-TORQUE'] | HTM70P | 494-2172 | RS | ['HI-TORQUE:HI-TORQUE Stainless Steel Slotted Hex Worm Drive, 16mm Band Width, 50mm - 70mm Inside Diameter '] | ['HI-TORQUE:None'] | Hose Clips & Jubilee Clips
604-731: ['Starrett'] | BC892 | 604-731 | RS | ['Starrett:Starrett HSS 16 ? 51 mm 8 piece Hole Saw Set'] | ['Starrett:None'] | Hole Saw Sets
779-2737: ['Power Adhesives'] | TEC 305 | 779-2737 | RS | ['Power Adhesives:TEC305 110 ? 240V Hot Melt Glue Gun, UK Plug'] | ['Power Adhesives:None'] | Hot Melt Glue Guns
779-2737: ['Power Adhesives'] | TEC 305 | 779-2737 | RS | ['Power Adhesives:TEC305 110 ? 240V Hot Melt Glue Gun, UK Plug'] | ['Power Adhesives:None'] | Hot Melt Glue Guns
787-0323: ['Idealtek'] | PCSA-1.2 | 787-0323 | RS | ['Idealtek:Idealtek ESD Foam 220mm width '] | ['Idealtek:None'] | ESD-Safe Foam, Film & Wrap
399-2110: ['ifm electronic'] | E11033 | 399-2110 | RS | ['ifm electronic:ifm Electronic Adapter '] | ['ifm electronic:None'] | Sensor Mounting & Fixing Accessories
399-2110: ['ifm electronic'] | E11033 | 399-2110 | RS | ['ifm electronic:ifm Electronic Adapter '] | ['ifm electronic:None'] | Sensor Mounting & Fixing Accessories
231-1380: ['Hirschmann'] | 933098100 | 231-1380 | RS | ['Hirschmann:Hirschmann E Series M12 Cable Mount Connector, 4 contacts Plug'] | ['Hirschmann:None'] | Industrial & Automation Circular Connectors
508-5400: ['Lumberg Automation'] | RKMCK 4 | 508-5400 | RS | ['Lumberg Automation:Lumberg Automation M8 Cable Mount Connector, 4 contacts Socket'] | ['Lumberg Automation:None'] | Industrial & Automation Circular Connectors
807-2867: ['Binder'] | 99-0430-19-04 | 807-2867 | RS | ['Binder:Binder 713 Series M12 Cable Mount Connector, 4 contacts Socket'] | ['Binder:None'] | Industrial & Automation Circular Connectors
861-0478: ['JSP'] | FAR0902 | 861-0478 | RS | ['JSP:JSP Screw Gate Karabiner '] | ['JSP:None'] | Fall Arrest Equipment
219-516: ['Karcher'] | 95332120 | 219-516 | RS | ['Karcher:Karcher Vacuum Bag x10 for NT 27/1 Vacuum Cleaner '] | ['Karcher:None'] | Vacuum Bags
304-8780: ['Kleffmann & Weese'] | None | 304-8780 | RS | ['Kleffmann & Weese:Kleffmann & Weese Stainless Steel Ruler, Metric 150mm '] | ['Kleffmann & Weese:None'] | Rulers
304-8803: ['Kleffmann & Weese'] | 901 200MM | 304-8803 | RS | ['Kleffmann & Weese:Kleffmann & Weese Stainless Steel Ruler, Metric 200mm '] | ['Kleffmann & Weese:None'] | Rulers
727-6715: ['Knipex'] | 30 16 160 | 727-6715 | RS | ['Knipex:Knipex 160 mm Chrome Vanadium Steel Long Nose Pliers With 46.5mm Jaw Length '] | ['Knipex:None'] | Long Nose Pliers
623-681: ['Kopex'] | EF160012X5-RS | 623-681 | RS | ['Kopex:Kopex EF160 PVC Flexible Conduit Black 16mm 5m '] | ['Kopex:None'] | Conduit
623-697: ['Kopex'] | EF160016X5-RS | 623-697 | RS | ['Kopex:Kopex EF160 PVC Flexible Conduit Black 20mm 5m '] | ['Kopex:None'] | Conduit
623-697: ['Kopex'] | EF160016X5-RS | 623-697 | RS | ['Kopex:Kopex EF160 PVC Flexible Conduit Black 20mm 5m '] | ['Kopex:None'] | Conduit
121-084: ['Kopex'] | EF952017X5-RS | 121-084 | RS | ['Kopex:Kopex Straight Cable Conduit Fitting, PP Black 20mm nominal size IP65 M20 '] | ['Kopex:None'] | Cable Conduit Fittings
121-084: ['Kopex'] | EF952017X5-RS | 121-084 | RS | ['Kopex:Kopex Straight Cable Conduit Fitting, PP Black 20mm nominal size IP65 M20 '] | ['Kopex:None'] | Cable Conduit Fittings
787-4057: ['Lapp Cable'] | 1119203 | 787-4057 | RS | ['Lapp Cable:Lapp Cable Olflex Classic 110 3 Core YY Control Cable, 1 mm², 100m, Unscreened '] | ['Lapp Cable:None'] | YY Cable
406-9407: ['Lapp'] | 52103125 | 406-9407 | RS | ['Lapp:Lapp M20 Plug, Nickel Plated Brass, Threaded, IP68 '] | ['Lapp:None'] | Cable Gland Plugs
439-903: ['Legris'] | 0106 04 00 | 439-903 | RS | ['Legris:Legris 4mm Straight Equal End Coupler Brass Compression Fitting '] | ['Legris:None'] | Compression Fittings
367-5815: ['Legris'] | 0914 00 21 | 367-5815 | RS | ['Legris:Legris Pneumatic Elbow Threaded Adapter, R 1/2 Male x R 1/2 Male Male '] | ['Legris:None'] | Pneumatic Elbow Threaded Adaptors
614-766: ['Lindstrom'] | 8160 | 614-766 | RS | ['Lindstrom:Lindstrom 125mm Cable Cutter For Copper Wire, 2mm cutting capacity '] | ['Lindstrom:None'] | Cable Cutters
693-832: ['Loctite'] | 614642 | 693-832 | RS | ['Loctite:Loctite 20 ml Tube Transparent Contact Adhesives Bonding Liquid '] | ['Loctite:None'] | Contact Adhesives
330-4002: ['Loctite'] | 577093 | 330-4002 | RS | ['Loctite:Loctite Superglue Precision 5 g Super Glue '] | ['Loctite:None'] | Cyanoacrylate Adhesives
330-4002: ['Loctite'] | 577093 | 330-4002 | RS | ['Loctite:Loctite Superglue Precision 5 g Super Glue '] | ['Loctite:None'] | Cyanoacrylate Adhesives
325-5994: ['Planet-Wattohm'] | HDPT13O-01 | 325-5994 | RS | ['Planet-Wattohm:RS PRO UK Mains Plug BS 1363, 13A, Cable Mount, 250 V ac'] | ['Planet-Wattohm:None'] | Mains Plugs & Sockets
257-8331: ['RS Pro'] | None | 257-8331 | RS | ['RS Pro:RS PRO Malleable Iron Fitting Barrel Nipple, 1/2 in BSPT Male (Connection 1), 1/2 in BSPT Male (Connection 2)'] | ['RS Pro:None'] | Malleable Iron Fittings
499-2818: ['RS Pro'] | None | 499-2818 | RS | ['RS Pro:RS PRO High Pressure Ball Valve Stainless Steel 1 in BSPP 2 Way'] | ['RS Pro:None'] | Manual Ball Valves
499-2818: ['RS Pro'] | None | 499-2818 | RS | ['RS Pro:RS PRO High Pressure Ball Valve Stainless Steel 1 in BSPP 2 Way'] | ['RS Pro:None'] | Manual Ball Valves
362-1571: ['DeWalt'] | DT6675-GB | 362-1571 | RS | ['DeWalt:DeWALT Carbide Tipped 100 mm Masonry Drill Bit, 6mm Diameter'] | ['DeWalt:None'] | Masonry & SDS Drill Bits
532-5152: ['Eaton'] | FAZ-S10/2 | 532-5152 | RS | ['Eaton:Eaton xEffect FAZ MCB Mini Circuit Breaker 2P, 10 A, 10 kA, Curve S'] | ['Eaton:None'] | MCBs
791-3310: ['Schneider Electric'] | A9F54163 | 791-3310 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 1P, 63 A, 10 KA, Curve C'] | ['Schneider Electric:None'] | MCBs
791-3556: ['Schneider Electric'] | A9F55306 | 791-3556 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 3P, 6 A, 10 KA, Curve D'] | ['Schneider Electric:None'] | MCBs
791-3556: ['Schneider Electric'] | A9F55306 | 791-3556 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 3P, 6 A, 10 KA, Curve D'] | ['Schneider Electric:None'] | MCBs
282-568: ['Mean Well'] | DRP-240-24 | 282-568 | RS | ['Mean Well:Mean Well, DRP DIN Rail Panel Mount Power Supply, 24V dc Output Voltage, 10A output current '] | ['Mean Well:None'] | DIN Rail Power Supplies
367-4064: ['Mennekes'] | 5600A | 367-4064 | RS | ['Mennekes:Mennekes Switchable IP67 Industrial Interlock Socket 3P+E, Earthing Position 6h, 16A, 400 V '] | ['Mennekes:None'] | Industrial Interlocks
125-9366: ['Merlett Plastics'] | 9130661200000 | 125-9366 | RS | ['Merlett Plastics:Merlett Plastics PUR 5m Long Clear Flexible Ducting Reinforced, 24mm Bend Radius '] | ['Merlett Plastics:None'] | Flexible Ducting
125-8983: ['Merlett Plastics'] | 9110200509200 | 125-8983 | RS | ['Merlett Plastics:Merlett Plastics PVC Hose, Yellow, 58.2mm External Diameter, 10m Long, Reinforced, 220mm Bend Radius, Liquid Food '] | ['Merlett Plastics:None'] | Flexible Tubes
399-7806: ['Mitsubishi'] | GX DEVELOPER FX | 399-7806 | RS | ['Mitsubishi:Mitsubishi PLC Programming Software 8.91 for use with FX Series, For Various Operating Systems '] | ['Mitsubishi:None'] | PLC Programming Software
718-1005: ['Weidmuller'] | SAK 2.5/35 -380460000 | 718-1005 | RS | ['Weidmuller:Weidmuller, SAK Series , 800 V Feed Through Terminal Block, Screw Down Termination'] | ['Weidmuller:None'] | Non-Fused DIN Rail Terminals
829-6612: ['Weidmüller'] | EK 2.5/35 | 829-6612 | RS | ['Weidmüller:Weidmuller, SAK Series , 800 V PE Terminal, Screw Termination'] | ['Weidmüller:None'] | Non-Fused DIN Rail Terminals
829-6612: ['Weidmüller'] | EK 2.5/35 | 829-6612 | RS | ['Weidmüller:Weidmuller, SAK Series , 800 V PE Terminal, Screw Termination'] | ['Weidmüller:None'] | Non-Fused DIN Rail Terminals
829-6612: ['Weidmüller'] | EK 2.5/35 | 829-6612 | RS | ['Weidmüller:Weidmuller, SAK Series , 800 V PE Terminal, Screw Termination'] | ['Weidmüller:None'] | Non-Fused DIN Rail Terminals
110-4486: ['Eaton'] | P1-32/I2H/MBS/SVB/HI11 | 110-4486 | RS | ['Eaton:3 Pole Enclosed Emergency Stop Push Button, NO/NC, 32 A, 15 kW, IP65'] | ['Eaton:None'] | Non-Fused Switch Disconnectors
393-9737: ['Eaton'] | T5B-1-102/I4/SVB | 393-9737 | RS | ['Eaton:2 Pole Enclosed Non Fused Isolator Switch, NO, 63 A, 22 kW, IP65'] | ['Eaton:None'] | Non-Fused Switch Disconnectors
629-2019: ['Eaton'] | T0-1-8200/I1H/SVB | 629-2019 | RS | ['Eaton:1 Pole Enclosed Non Fused Isolator Switch, 20 A ac, 13 kW, IP65'] | ['Eaton:None'] | Non-Fused Switch Disconnectors
329-7263: ['Omron'] | G2R-2-SNI AC110(S) | 329-7263 | RS | ['Omron:OmronG2R DPDT Non-Latching Relay Plug In, 110V ac Coil, 5A'] | ['Omron:None'] | Non-Latching Relays
365-5530: ['Norton'] | 63642502311 | 365-5530 | RS | ['Norton:Norton Zirconium Dioxide Coarse Flap Disc, 40 Grit, 13500rpm, 115mm x 22mm Bore '] | ['Norton:None'] | Flap Discs
365-5568: ['Norton'] | 63642502314 | 365-5568 | RS | ['Norton:Norton Zirconium Dioxide Fine Flap Disc, 120 Grit, 13500rpm, 115mm x 22mm Bore '] | ['Norton:None'] | Flap Discs
365-5552: ['Norton'] | 63642502313 | 365-5552 | RS | ['Norton:Norton Zirconium Dioxide Medium Flap Disc, 80 Grit, 13500rpm, 115mm x 22mm Bore '] | ['Norton:None'] | Flap Discs
353-938: ['Omron'] | G3RODX02SNDC524 | 353-938 | RS | ['Omron:Omron 2 A Solid State Relay, DIN Rail, Transistor, 60 V dc Maximum Load '] | ['Omron:None'] | Solid State Relays
353-938: ['Omron'] | G3RODX02SNDC524 | 353-938 | RS | ['Omron:Omron 2 A Solid State Relay, DIN Rail, Transistor, 60 V dc Maximum Load '] | ['Omron:None'] | Solid State Relays
353-944: ['Omron'] | P2RF-05-E | 353-944 | RS | ['Omron:Omron 5 Pin Relay Socket, 250V ac for use with G2R-1-S Relays'] | ['Omron:None'] | Relay Sockets
420-473: ['Omron'] | E3SAR86 | 420-473 | RS | ['Omron:Omron E3S Photoelectric Sensor Retroreflective 0.1 ? 2 m Detection Range PNP '] | ['Omron:None'] | Photoelectric Sensors
743-1329: ['Omron'] | E3ZM-B86T | 743-1329 | RS | ['Omron:Omron E3ZM Photoelectric Sensor Retroreflective 100 ? 500 mm Detection Range PNP '] | ['Omron:None'] | Photoelectric Sensors
353-966: ['Omron'] | P2RF08E | 353-966 | RS | ['Omron:Omron Relay Socket, 250V ac for use with G2R-2-S Relays '] | ['Omron:None'] | Relay Sockets
353-966: ['Omron'] | P2RF08E | 353-966 | RS | ['Omron:Omron Relay Socket, 250V ac for use with G2R-2-S Relays '] | ['Omron:None'] | Relay Sockets
171-7046: ['Orbitec'] | B3524 | 171-7046 | RS | ['Orbitec:BA15d Indicator Light, Clear, 24 V, 200 mA, 2000h '] | ['Orbitec:None'] | Filament Indicator Lamps
171-7046: ['Orbitec'] | B3524 | 171-7046 | RS | ['Orbitec:BA15d Indicator Light, Clear, 24 V, 200 mA, 2000h '] | ['Orbitec:None'] | Filament Indicator Lamps
815-4754: ['Panasonic'] | AKT7211100 | 815-4754 | RS | ['Panasonic:Panasonic KT7 PID Temperature Controller, 22.5 x 75mm, 1 Output Relay, 24 V ac/dc Supply Voltage '] | ['Panasonic:None'] | PID Temperature Controllers
800-3619: ['Panasonic'] | AKT7212100J | 800-3619 | RS | ['Panasonic:Panasonic KT7 PID Temperature Controller, 22.5 x 75mm, 1 Output Transistor, 24 V ac/dc Supply Voltage '] | ['Panasonic:None'] | PID Temperature Controllers
124-9147: ['Patlite'] | CWA6S-24-CD | 124-9147 | RS | ['Patlite:CWA Incandescent Beacon, Daylight LED, 24 V dc '] | ['Patlite:None'] | Modular Beacon Tower Components
124-9147: ['Patlite'] | CWA6S-24-CD | 124-9147 | RS | ['Patlite:CWA Incandescent Beacon, Daylight LED, 24 V dc '] | ['Patlite:None'] | Modular Beacon Tower Components
124-9147: ['Patlite'] | CWA6S-24-CD | 124-9147 | RS | ['Patlite:CWA Incandescent Beacon, Daylight LED, 24 V dc '] | ['Patlite:None'] | Modular Beacon Tower Components
124-9147: ['Patlite'] | CWA6S-24-CD | 124-9147 | RS | ['Patlite:CWA Incandescent Beacon, Daylight LED, 24 V dc '] | ['Patlite:None'] | Modular Beacon Tower Components
124-9147: ['Patlite'] | CWA6S-24-CD | 124-9147 | RS | ['Patlite:CWA Incandescent Beacon, Daylight LED, 24 V dc '] | ['Patlite:None'] | Modular Beacon Tower Components
124-9147: ['Patlite'] | CWA6S-24-CD | 124-9147 | RS | ['Patlite:CWA Incandescent Beacon, Daylight LED, 24 V dc '] | ['Patlite:None'] | Modular Beacon Tower Components
124-9147: ['Patlite'] | CWA6S-24-CD | 124-9147 | RS | ['Patlite:CWA Incandescent Beacon, Daylight LED, 24 V dc '] | ['Patlite:None'] | Modular Beacon Tower Components
124-9147: ['Patlite'] | CWA6S-24-CD | 124-9147 | RS | ['Patlite:CWA Incandescent Beacon, Daylight LED, 24 V dc '] | ['Patlite:None'] | Modular Beacon Tower Components
124-9147: ['Patlite'] | CWA6S-24-CD | 124-9147 | RS | ['Patlite:CWA Incandescent Beacon, Daylight LED, 24 V dc '] | ['Patlite:None'] | Modular Beacon Tower Components
